ID,X1032245.N_bwa.ciri2,X1039868.N_bwa.ciri2,X1042353.N_bwa.ciri2,X1042745.N_bwa.ciri2,X1043773.N_bwa.ciri2,X1045386.N_bwa.ciri2,X1045549.N_bwa.ciri2,X1046191.N_bwa.ciri2,X1046287.N_bwa.ciri2,X1046349.N_bwa.ciri2,X1046499.N_bwa.ciri2,X1047291.N_bwa.ciri2,X1047831.N_bwa.ciri2,X1047912.N_bwa.ciri2,X1048720.N_bwa.ciri2,X1049983.N_bwa.ciri2,X1050700.N_bwa.ciri2,X1051316.N_bwa.ciri2,X1054390.N_bwa.ciri2,X1056166.N_bwa.ciri2,X272577.N_bwa.ciri2,X451368.N_bwa.ciri2,X477022.N_bwa.ciri2,X515975.N_bwa.ciri2,X522638.N_bwa.ciri2,X548142.N_bwa.ciri2,X649867.N_bwa.ciri2,X685749.N_bwa.ciri2,X843725.N_bwa.ciri2,X99272.N_bwa.ciri2,,CircRNACount.1032245.N,CircRNACount.1039868.N,CircRNACount.1042353.N,CircRNACount.1042745.N,CircRNACount.1043773.N,CircRNACount.1045386.N,CircRNACount.1045549.N,CircRNACount.1046191.N,CircRNACount.1046287.N,CircRNACount.1046349.N,CircRNACount.1046499.N,CircRNACount.1047291.N,CircRNACount.1047831.N,CircRNACount.1047912.N,CircRNACount.1048720.N,CircRNACount.1049983.N,CircRNACount.1050700.N,CircRNACount.1051316.N,CircRNACount.1054390.N,CircRNACount.1056166.N,CircRNACount.272577.N,CircRNACount.451368.N,CircRNACount.477022.N,CircRNACount.515975.N,CircRNACount.522638.N,CircRNACount.548142.N,CircRNACount.649867.N,CircRNACount.685749.N,CircRNACount.843725.N,CircRNACount.99272.N,
chr5:80775694-80792844,4,6,5,0,6,13,9,3,8,6,9,7,6,2,4,4,10,5,4,5,4,6,9,4,2,8,4,2,4,6,5.5,2,3,4,0,2,6,1,2,3,3,6,3,6,1,1,3,6,3,3,2,3,4,4,1,1,4,1,2,1,1,4.139344262
chr5:72861808-72865729,7,7,3,0,2,6,2,0,0,0,6,4,2,3,4,5,2,2,5,2,4,6,5,0,2,9,0,0,5,2,3.166666667,6,6,2,0,2,5,1,1,1,1,5,4,2,3,3,5,1,1,5,1,2,4,3,0,1,7,1,0,2,1,2.855191257
chr4:75012425-75013150,3,5,0,2,4,5,3,4,4,4,3,5,2,4,3,5,5,2,5,5,2,2,3,0,6,6,7,3,6,5,3.766666667,1,3,1,2,3,4,3,4,1,2,3,1,1,3,2,3,3,2,1,4,2,1,2,1,3,5,5,3,4,2,3.143715847
chr9:33948374-33956146,7,7,2,0,6,6,15,8,9,3,5,3,6,4,4,6,4,4,10,2,2,4,0,7,5,5,3,7,6,7,5.233333333,4,6,1,1,3,5,11,8,5,2,5,2,4,3,1,5,2,3,8,1,2,3,1,7,5,3,0,6,4,2,4.512021858
chrX:10566888-10567603,0,3,3,0,3,4,4,0,0,4,0,6,2,0,0,0,4,0,3,3,0,3,2,2,2,3,2,0,3,3,1.966666667,0,2,1,1,3,3,4,2,1,4,1,5,1,0,0,1,4,0,3,2,1,3,2,2,2,3,2,1,3,3,1.983060109
chr1:8541214-8557523,12,6,0,6,9,20,10,4,8,2,8,7,4,8,9,10,4,5,8,4,11,6,6,4,4,8,5,4,4,14,7,7,4,1,3,5,11,4,3,5,2,6,6,2,4,6,9,3,5,5,3,7,3,6,4,3,6,4,4,4,8,5.901639344
chr16:11020193-11061022,2,10,3,6,2,5,10,6,5,3,6,8,6,4,3,4,3,2,6,4,2,3,9,10,9,10,8,3,7,12,5.7,2,10,2,6,1,3,1,3,3,3,5,5,1,4,2,3,3,1,6,3,1,3,6,1,5,8,1,3,5,6,4.63442623
chr8:47279862-47294030,4,3,3,4,5,5,11,6,3,4,6,7,5,2,4,5,4,7,0,6,2,6,8,4,3,9,2,9,4,7,4.933333333,2,3,2,4,3,5,2,3,3,3,4,5,4,2,4,5,4,5,0,3,1,5,7,2,3,9,2,8,4,6,4.359562842
chr12:28225795-28259442,16,24,17,16,13,36,21,16,10,9,31,25,15,21,12,26,15,24,17,17,11,13,16,20,14,28,10,12,17,19,18.03333333,9,10,11,9,8,23,10,7,7,6,1,18,10,16,6,12,12,15,7,11,7,9,13,10,3,18,6,5,11,10,14.08251366
chr10:95381685-95410777,3,2,0,0,6,5,2,2,7,6,3,5,0,5,6,4,6,2,5,5,3,0,2,3,0,6,2,3,6,3,3.4,3,2,0,0,3,4,1,2,6,5,2,5,1,4,3,3,4,2,5,5,3,1,2,2,1,6,2,1,5,3,3.137704918
chr7:117504253-117559655,3,4,0,0,6,3,0,2,7,0,3,6,2,4,0,2,4,6,3,3,0,0,5,0,0,3,0,5,3,6,2.666666667,1,2,0,0,4,3,1,2,5,1,1,3,1,3,0,1,4,5,2,2,1,0,4,1,0,3,1,4,3,6,2.404371585
chr20:63775678-63790790,7,6,5,0,10,10,8,5,7,5,6,4,5,4,3,33,4,10,12,5,5,3,9,0,28,48,0,7,6,6,8.7,4,4,5,1,8,6,6,5,4,5,6,2,4,4,3,28,2,8,12,4,5,1,7,1,21,39,0,4,5,4,7.831147541
chr14:55612019-55619312,3,5,3,0,0,5,0,0,4,0,4,0,0,0,0,3,3,7,6,0,0,3,4,5,0,6,4,6,5,5,2.7,3,3,3,2,1,2,0,1,1,2,3,1,3,1,1,2,2,6,2,1,3,1,2,1,0,5,1,3,1,4,2.372131148
chrX:80707427-80719656,0,4,3,0,8,3,3,0,3,4,6,4,6,4,4,4,0,2,10,2,2,0,3,0,3,6,0,2,0,5,3.033333333,0,4,3,0,6,2,2,1,2,3,5,2,6,3,1,4,1,1,6,2,1,0,2,0,1,4,1,2,0,5,2.689071038
chr6:118511298-118566316,2,3,2,4,0,10,7,5,0,4,0,4,3,0,0,7,4,5,2,5,3,0,5,0,5,2,2,3,3,9,3.3,2,1,2,3,0,7,4,5,1,1,1,3,2,0,0,4,3,2,2,3,3,0,4,1,2,1,2,2,1,7,2.808196721
chr15:90441506-90443478,8,0,3,0,7,4,8,5,4,4,10,8,4,6,3,3,13,5,2,5,3,10,4,3,5,8,7,2,2,11,5.233333333,6,1,3,1,6,4,8,5,4,3,9,7,2,6,2,2,1,4,2,2,3,9,3,1,4,7,6,1,2,6,4.626775956
chr15:80098416-80122800,7,9,2,6,10,13,13,3,2,5,5,5,8,4,4,10,5,4,0,6,3,0,4,4,14,5,6,2,5,18,6.066666667,5,7,1,1,9,13,1,4,3,5,3,4,7,2,3,10,3,2,2,4,4,1,3,4,12,1,3,3,3,12,5.296174863
chr22:41808875-41810291,6,8,9,11,9,7,11,9,6,5,8,15,8,16,5,9,8,7,12,11,7,8,13,9,7,23,7,10,7,22,9.766666667,4,4,7,8,4,3,7,7,3,4,5,14,5,13,3,7,5,5,8,8,6,6,12,1,5,1,5,8,4,19,8.094535519
chr2:54982515-54987698,7,7,8,3,7,14,14,10,7,4,9,11,4,7,11,17,12,9,9,12,4,7,20,7,8,14,10,4,5,16,9.233333333,6,6,7,3,5,7,11,6,3,4,6,7,3,7,6,13,11,5,7,6,3,5,14,7,8,10,8,3,4,11,8.003825137
chr22:38494630-38501280,2,2,0,4,5,4,7,2,0,2,2,2,0,2,0,8,3,4,0,5,0,0,3,2,0,0,2,5,3,6,2.5,2,1,1,4,2,4,5,1,1,1,1,2,1,2,0,6,1,3,0,4,0,0,2,2,1,0,1,5,2,4,2.237704918
chr7:130039464-130049144,4,0,0,0,7,2,5,0,0,0,3,0,3,2,4,2,2,4,4,2,2,6,4,7,2,3,3,3,0,6,2.666666667,4,1,0,0,4,1,3,0,0,1,3,1,3,1,4,2,2,4,4,1,1,4,3,7,2,2,2,1,0,6,2.453551913
chr11:118786052-118786518,5,7,7,5,5,12,11,3,7,7,6,5,11,8,4,7,7,3,7,4,4,3,5,8,5,5,0,6,7,12,6.2,3,4,6,5,5,12,11,3,7,4,5,3,9,5,2,5,6,3,6,4,2,3,2,5,4,4,1,6,5,9,5.593442623
chr3:138570318-138571356,0,16,0,4,21,16,16,9,0,12,0,14,12,0,9,0,8,10,0,0,6,0,10,10,9,20,0,10,14,29,8.5,6,11,6,2,16,13,13,7,7,9,4,9,9,3,7,10,7,8,8,10,4,6,8,9,9,18,7,8,8,25,8.696721311
chr1:41070595-41075451,8,12,16,8,22,15,48,23,18,11,30,13,12,15,16,26,37,11,26,25,4,24,16,27,19,19,19,28,16,12,19.2,7,10,11,6,17,15,38,18,13,8,23,8,10,10,12,18,27,9,20,20,3,19,11,19,14,14,14,21,12,11,16.93770492
chr4:25151960-25159107,2,3,5,4,0,0,3,3,2,0,0,0,0,4,0,5,0,2,4,0,0,4,2,2,2,3,5,0,0,4,1.966666667,2,3,4,4,1,1,1,3,2,0,0,0,1,4,0,3,0,2,3,1,0,3,2,2,2,1,5,1,1,3,1.901092896
chr2:39336920-39337581,2,0,0,5,3,6,4,4,0,3,5,0,0,5,7,0,0,2,4,3,0,6,2,2,2,5,4,0,6,5,2.833333333,2,0,0,3,1,5,2,2,0,2,4,0,1,4,5,0,1,2,3,1,1,3,2,2,2,4,3,1,4,4,2.489071038
chr17:67945409-67975958,34,0,28,16,36,53,48,38,46,17,51,63,38,27,33,42,50,30,50,57,28,43,41,48,26,48,40,48,55,57,39.7,27,1,15,9,20,36,31,24,23,14,29,52,24,21,1,24,31,24,27,35,17,28,25,26,17,32,23,35,36,42,32.45409836
chr6:107904629-107924932,2,3,3,0,2,4,2,2,0,0,0,4,2,0,0,2,0,0,2,3,0,0,4,3,0,2,0,2,3,5,1.666666667,2,2,2,0,2,4,2,1,1,1,1,3,1,0,0,2,1,0,2,2,1,0,3,2,1,1,1,2,3,3,1.601092896
chr18:58934433-58953799,2,5,3,7,9,9,10,4,0,4,4,6,3,3,3,10,5,3,7,2,2,4,8,3,2,9,3,5,5,2,4.733333333,1,5,2,7,5,6,5,3,0,0,1,5,3,1,3,7,5,2,6,2,1,2,5,3,2,1,2,3,4,2,3.946448087
chr14:99257471-99257839,3,3,3,7,7,3,9,4,5,0,4,7,2,0,3,7,4,2,2,5,0,7,8,7,4,6,4,3,3,2,4.133333333,3,3,1,5,5,3,7,3,2,0,3,4,2,0,3,5,2,1,2,1,0,3,7,6,4,6,2,3,2,1,3.559562842
chr1:155438327-155439068,11,11,8,4,11,23,14,8,13,14,10,15,9,7,15,5,10,7,11,8,6,6,15,9,8,12,8,8,11,10,10.23333333,5,6,5,2,4,8,11,5,7,10,5,9,5,5,10,3,10,3,6,4,3,4,9,3,5,6,2,4,7,6,8.020218579
chr11:62527208-62527396,4,3,0,0,7,7,0,4,6,0,0,3,2,0,5,0,4,3,6,5,0,0,5,0,4,0,8,3,3,4,2.866666667,4,2,0,3,7,5,4,2,3,2,1,2,2,1,3,3,3,2,4,4,0,0,3,0,3,1,7,2,1,4,2.735519126
chr8:130152736-130169067,2,0,3,0,7,5,5,2,2,0,10,5,3,3,4,3,7,3,6,6,6,5,4,6,8,7,2,4,4,3,4.166666667,0,0,1,1,6,3,2,2,2,1,8,5,2,1,4,2,5,3,3,2,5,5,2,2,5,4,2,2,4,3,3.543715847
chr15:41668828-41669958,36,21,18,13,19,32,37,15,18,21,19,19,26,21,12,18,21,23,23,21,11,19,26,19,15,22,25,22,13,37,21.4,34,15,15,1,17,24,1,14,13,17,16,16,18,1,10,13,15,1,1,18,10,15,22,1,12,18,18,18,11,2,17.21967213
chr7:156966270-156967092,4,4,0,2,3,5,12,4,6,0,5,4,3,3,0,2,2,2,5,0,0,5,5,2,0,0,0,0,0,3,2.7,3,4,0,2,2,4,11,3,5,0,4,4,2,2,0,2,2,1,5,1,0,2,4,2,0,0,1,0,1,3,2.519672131
chr12:6510279-6510532,0,0,5,3,3,3,4,5,0,0,10,3,6,0,0,2,0,6,4,5,0,5,3,4,4,0,7,2,4,10,3.266666667,1,1,4,2,3,3,1,4,0,0,9,3,4,2,0,2,1,5,3,4,0,5,3,1,3,1,4,1,4,9,3.020765027
chr16:68190768-68191775,0,0,2,3,3,0,3,0,3,2,0,0,0,2,0,2,0,0,0,3,0,2,2,0,2,4,2,5,3,5,1.6,0,0,2,3,2,0,2,0,2,2,0,1,1,2,0,2,0,1,1,3,0,0,2,0,2,4,1,2,2,5,1.501639344
chr9:126340508-126395697,0,3,2,2,3,2,3,3,3,4,2,2,2,0,0,4,0,2,0,3,0,0,4,2,3,0,0,3,2,3,1.9,2,2,2,2,1,2,2,2,2,3,1,1,2,1,0,1,1,2,0,2,0,0,3,1,2,1,0,3,2,1,1.686885246
chr9:33948374-33953474,0,0,0,0,3,4,6,2,2,2,6,2,2,0,0,5,4,6,0,3,3,4,4,4,4,5,2,6,5,4,2.933333333,1,1,0,1,3,4,6,2,2,2,4,1,2,0,1,3,4,3,1,3,2,4,3,2,1,4,2,6,4,2,2.703825137
chr15:63529014-63563008,2,4,2,2,2,4,4,3,0,3,2,4,9,3,0,0,4,0,2,3,0,4,0,0,2,5,3,0,3,3,2.433333333,2,3,2,2,2,3,2,2,0,3,2,1,6,2,1,0,4,1,2,2,1,2,0,0,1,5,3,0,3,1,2.187431694
chr3:169975608-169988359,3,2,0,3,0,6,2,2,0,0,0,0,0,3,3,2,0,0,2,3,2,3,3,0,0,0,2,2,5,5,1.766666667,2,2,0,3,1,6,1,2,1,1,1,1,0,3,3,2,0,1,2,3,2,2,2,0,0,1,1,0,3,2,1.684699454
chr21:37420299-37421866,3,3,3,0,3,4,9,5,4,0,5,4,2,6,0,0,2,2,7,3,0,6,9,4,9,4,2,0,0,2,3.366666667,3,1,3,1,1,3,8,3,4,1,4,3,2,4,1,0,1,1,6,2,0,4,5,1,8,3,1,0,1,2,2.973224044
chr9:37126312-37147445,15,12,4,4,4,19,10,5,8,10,3,15,8,8,5,6,12,4,8,7,8,10,13,8,7,6,0,9,11,21,8.666666667,9,8,3,4,3,15,6,4,8,9,3,8,6,5,3,4,7,2,8,4,4,5,11,6,5,4,0,8,7,17,7.453551913
chr11:14771937-14789242,4,7,6,7,3,6,9,6,10,8,7,6,8,3,3,10,3,2,3,7,5,2,11,3,4,0,6,3,5,12,5.633333333,2,2,1,3,1,1,5,2,7,4,1,3,1,1,1,9,2,1,1,3,3,1,4,2,1,1,3,0,3,5,4.075956284
chr22:45689712-45718493,0,4,3,4,3,3,4,0,0,2,0,4,0,3,0,2,2,2,3,0,3,2,3,2,0,4,4,3,2,3,2.166666667,0,3,2,2,2,3,2,0,0,2,1,4,0,2,0,1,2,1,2,0,3,1,3,2,1,4,4,3,1,2,1.969945355
chr5:139363759-139364743,5,4,5,3,8,11,10,3,5,6,5,11,6,8,4,9,6,4,7,12,8,7,9,5,8,10,6,5,5,13,6.933333333,5,4,5,3,7,8,9,1,3,4,4,7,2,8,2,8,6,3,5,10,4,6,8,4,5,5,5,5,2,11,6.130054645
chr6:116689320-116705160,2,2,0,4,2,4,4,0,4,2,0,5,5,0,3,4,0,3,0,0,0,3,4,0,2,3,0,0,3,3,2.066666667,1,2,1,4,2,3,4,1,4,0,0,3,4,0,3,3,0,3,0,1,0,2,4,0,2,3,0,1,2,1,1.935519126
chr4:112562371-112585725,5,2,5,0,2,4,3,0,3,0,0,0,2,3,2,0,0,3,3,0,0,2,2,3,2,5,2,3,0,5,2.033333333,5,2,4,0,2,4,2,1,3,0,0,0,2,3,2,1,0,1,2,0,1,1,2,2,2,3,2,2,0,4,1.902185792
chrX:85067127-85074391,3,0,0,0,0,2,3,0,2,0,4,5,3,3,0,5,3,6,2,3,4,0,11,4,2,5,2,5,5,3,2.833333333,3,0,1,1,1,2,4,0,1,1,3,5,2,2,0,4,3,5,1,4,5,1,10,2,1,3,2,5,5,3,2.75136612
chr7:39987599-40002031,8,9,7,3,3,7,17,5,8,13,9,10,6,11,5,17,11,5,8,12,6,2,7,8,5,10,6,6,11,7,8.066666667,7,9,6,3,3,1,1,3,1,1,1,4,5,8,1,1,8,5,1,9,4,2,6,2,5,8,6,1,1,5,6.033879781
chr15:67231814-67236820,8,9,5,4,6,10,13,4,9,9,8,4,6,9,2,12,6,9,8,12,7,0,8,8,7,16,6,8,8,16,7.9,7,7,4,0,5,5,9,3,7,5,5,3,3,5,1,6,6,8,7,9,3,0,2,5,3,10,2,6,4,10,6.473770492
chr6:145864388-145894977,0,3,2,4,8,9,3,3,3,4,2,4,9,2,0,5,2,3,6,5,0,6,4,2,3,5,6,4,7,7,4.033333333,1,2,2,3,6,8,1,1,2,4,2,4,7,1,1,4,2,2,6,3,1,4,2,2,3,3,5,3,5,4,3.590710383
chr5:140440119-140449305,2,0,5,0,4,3,9,6,4,0,5,2,0,4,0,0,3,0,0,5,3,0,6,3,0,4,5,0,2,4,2.633333333,1,1,4,0,3,1,6,4,4,1,1,1,0,4,0,1,2,1,2,4,3,1,4,2,0,2,4,0,2,4,2.371038251
chr13:32517857-32527532,67,51,39,32,78,78,68,46,66,52,54,69,60,49,54,49,59,51,49,50,48,55,67,49,38,72,56,40,69,105,57.33333333,49,35,33,28,59,57,49,36,47,45,41,53,47,35,42,38,50,41,37,32,37,44,49,32,25,50,41,32,51,75,50.28415301
chr15:62007308-62013992,15,5,2,3,5,21,10,7,12,9,16,18,10,9,15,12,13,7,9,12,4,6,4,3,6,9,16,8,17,10,9.766666667,11,3,2,1,3,13,7,4,9,7,12,10,6,7,9,8,8,4,6,10,3,4,2,3,4,4,7,4,9,7,8.028961749
chr2:32377588-32395593,2,4,3,0,3,4,5,5,0,5,2,7,4,3,0,5,2,0,4,2,0,2,6,0,0,3,0,5,3,4,2.766666667,1,4,3,1,3,3,2,4,0,4,2,6,4,2,1,3,1,0,4,0,1,2,4,0,1,3,1,5,1,4,2.553551913
chr9:111386377-111391824,14,19,15,11,10,26,34,11,13,8,8,20,9,18,12,19,17,12,15,11,12,11,14,20,12,19,15,19,12,29,15.5,8,14,11,8,6,20,21,5,11,5,6,13,8,13,8,13,14,10,11,9,9,7,11,14,10,14,9,14,9,21,13.31967213
chr6:72295937-72333835,2,6,0,3,6,13,6,3,6,0,5,6,3,2,0,0,8,4,8,3,6,9,5,6,7,7,2,3,3,2,4.466666667,0,3,0,1,5,3,1,3,0,0,2,0,1,2,0,0,4,3,0,1,4,3,2,2,1,3,1,2,2,1,3.089617486
chr13:95161189-95170628,0,3,4,0,0,2,3,0,0,3,2,3,2,4,5,0,0,0,3,2,0,5,0,2,0,4,4,0,3,9,2.1,1,3,3,1,0,2,2,1,0,2,2,3,2,4,4,0,0,0,2,2,0,3,0,2,1,3,2,0,2,7,1.952459016
chr7:23611171-23611553,9,12,9,5,15,22,11,10,14,13,4,12,13,7,14,18,10,10,14,5,10,9,11,14,10,25,2,5,15,22,11.66666667,6,10,5,3,10,17,9,9,10,8,4,10,9,7,10,13,6,7,8,4,9,5,11,11,7,20,2,3,10,19,10.22404372
chr7:24623663-24668660,4,4,0,0,2,6,0,3,3,3,0,3,2,4,0,4,4,3,6,4,4,0,4,0,0,7,5,3,2,2,2.733333333,4,4,0,0,1,4,1,2,3,2,0,1,1,2,1,4,3,4,4,3,4,1,4,0,1,6,4,2,1,2,2.520218579
chr2:199323803-199433514,6,5,3,5,0,2,12,5,8,5,3,8,7,4,2,4,0,2,3,5,2,2,3,5,4,6,6,3,7,9,4.533333333,5,5,1,4,0,2,8,4,5,5,3,7,6,4,1,2,1,1,2,5,1,0,1,4,3,5,4,1,7,6,3.992349727
chr8:37765526-37766355,4,7,11,4,4,14,20,8,7,2,10,13,11,8,10,10,7,15,14,9,7,12,7,13,4,13,6,9,12,14,9.5,3,5,6,3,3,8,14,7,4,1,6,6,1,4,8,8,6,9,5,7,5,9,6,7,1,8,4,5,5,9,7.663934426
chr6:87215903-87218731,17,16,12,13,18,41,36,12,9,17,18,14,20,19,13,19,8,10,21,16,18,13,26,16,18,10,23,18,22,26,17.96666667,15,12,7,9,16,31,1,10,7,16,15,10,16,16,11,14,5,7,1,14,14,9,21,2,1,8,18,13,16,1,14.63879781
chr13:100301460-100340259,2,2,3,0,3,2,4,2,0,0,0,5,2,0,0,9,5,0,3,6,0,0,2,0,2,3,0,0,4,2,2.033333333,2,2,2,0,2,2,3,2,0,0,0,3,2,0,0,7,5,0,2,6,0,0,2,1,1,2,1,0,3,2,1.88579235
chr9:107300141-107311737,7,4,2,3,0,5,10,3,4,2,2,3,0,2,4,4,4,6,8,4,5,6,7,5,3,2,5,10,5,10,4.5,7,3,1,3,5,3,1,3,4,2,2,3,3,0,2,3,4,4,5,2,5,3,5,2,1,6,1,5,5,7,3.926229508
chr8:17713214-17723833,4,2,0,0,0,6,5,6,6,2,7,7,5,4,4,7,5,3,3,4,6,3,3,7,0,9,0,3,7,7,4.166666667,1,1,0,0,0,5,1,3,5,1,2,3,5,1,3,4,3,2,1,3,3,2,2,3,1,6,0,2,4,3,3.265027322
chr11:65500863-65501193,5,9,4,0,5,8,16,0,6,7,7,0,4,9,2,6,4,7,11,0,4,8,10,3,3,4,7,4,3,16,5.733333333,2,3,1,0,3,2,6,0,0,1,3,0,1,2,1,3,2,3,4,0,3,4,3,0,1,1,2,2,0,5,3.864480874
chr5:88220563-88245792,5,4,2,5,4,2,5,0,4,5,0,2,4,3,3,5,0,0,0,8,4,3,2,0,3,5,4,3,2,6,3.1,4,2,1,3,3,1,3,0,4,4,1,1,3,3,2,4,0,1,0,7,3,1,1,0,3,4,3,2,1,4,2.706557377
chr15:42827928-42840433,3,12,5,5,7,7,7,5,5,14,6,9,6,11,5,5,6,3,7,4,4,5,8,7,6,13,6,9,5,12,6.9,3,7,4,1,3,6,4,4,3,12,4,4,6,8,4,4,4,1,3,1,3,5,5,3,2,8,3,5,5,10,5.719672131
chr1:32592931-32593754,2,2,3,2,4,2,3,0,3,0,0,2,0,0,5,6,0,0,0,5,2,0,2,0,3,5,0,2,3,0,1.866666667,2,2,2,1,4,1,3,0,3,1,1,2,1,0,3,3,0,0,1,5,1,0,2,1,3,4,0,2,2,1,1.784699454
chr12:32598497-32611283,26,10,14,16,20,20,16,6,15,30,15,25,17,18,15,15,16,13,15,16,17,10,14,15,17,28,14,11,19,33,17.2,20,8,9,11,12,13,14,5,8,23,15,18,12,13,1,14,11,9,14,14,1,7,9,11,13,1,9,10,15,27,14.4295082
chr3:56627037-56628614,0,4,8,12,14,15,11,5,4,9,12,10,5,4,5,9,3,4,0,4,6,2,12,6,5,7,4,2,15,6,6.766666667,0,3,6,7,9,6,9,4,3,4,7,6,3,1,4,7,2,2,0,3,3,1,8,4,3,4,1,1,7,5,5.455191257
chr18:76849526-76851939,12,6,3,6,12,12,14,7,13,4,10,9,9,4,3,7,9,9,15,8,10,6,11,9,5,14,8,8,10,18,9.033333333,11,6,3,5,12,10,13,7,11,4,9,7,8,1,3,6,9,7,13,8,9,5,10,1,3,14,6,6,9,16,8.393989071
chr2:26364302-26375148,5,5,0,3,6,3,3,3,5,0,6,2,4,2,0,8,3,3,3,5,2,2,0,2,0,6,0,6,2,4,3.1,4,2,1,3,4,1,3,3,3,0,6,2,2,2,2,6,2,3,2,4,2,1,1,2,1,5,1,6,2,3,2.870491803
chr3:3777725-3789074,3,6,5,2,9,6,14,6,3,4,9,7,7,4,4,7,2,9,12,7,0,8,7,6,3,9,8,7,7,15,6.533333333,2,3,4,0,6,5,8,4,2,4,8,5,4,3,2,7,2,7,7,4,0,7,6,3,1,5,4,5,5,12,5.533333333
chr4:1900626-1904378,2,5,3,2,7,3,8,3,11,0,5,6,5,6,2,3,0,3,5,4,10,0,3,2,0,7,3,9,2,5,4.133333333,2,5,3,2,6,3,5,3,8,1,1,3,4,5,2,3,1,3,3,2,8,1,3,2,1,6,1,7,2,3,3.723497268
chr5:66053406-66054951,7,7,6,2,4,6,10,0,7,12,7,4,4,5,6,7,11,0,8,5,10,2,11,6,3,9,5,4,7,11,6.2,7,7,4,1,3,4,9,1,7,10,6,4,2,3,6,7,1,0,6,5,8,2,10,5,2,9,4,4,6,1,5.51147541
chr11:46076754-46092223,0,5,6,0,6,9,15,2,3,2,5,8,3,5,8,5,8,5,0,9,4,3,7,6,4,7,2,7,9,10,5.433333333,0,2,3,1,0,3,6,1,1,1,2,2,0,3,1,2,3,3,1,4,1,1,2,2,1,4,1,4,2,4,3.761202186
chr3:5174017-5174414,9,12,9,7,12,13,15,7,10,9,17,18,9,12,9,13,12,14,18,16,6,9,13,17,7,11,11,3,18,21,11.9,6,7,6,4,9,10,11,7,7,8,12,14,6,9,6,12,6,10,14,9,3,9,8,13,4,7,8,2,14,13,10.21147541
chr2:203056427-203057453,0,0,0,4,0,2,6,0,3,0,2,3,3,3,5,2,3,0,2,3,0,2,4,0,3,5,2,2,5,8,2.4,0,1,1,2,0,2,1,1,3,1,0,0,2,2,5,2,2,0,1,2,2,1,3,0,2,4,2,0,1,5,2.006557377
chr3:125313308-125331238,9,8,7,5,10,11,13,12,8,2,9,9,4,6,5,13,14,11,9,8,6,9,7,9,5,8,9,12,5,8,8.366666667,6,5,6,5,8,8,10,8,5,2,6,6,4,5,4,10,11,10,9,6,3,7,5,8,5,5,7,7,4,6,7.383060109
chr8:25407983-25408940,2,5,2,2,5,2,5,6,2,0,6,3,4,2,3,2,3,0,2,3,0,0,4,0,3,6,5,0,2,5,2.8,1,5,2,2,4,2,4,3,2,0,6,3,3,1,3,1,3,0,2,2,0,0,3,1,3,4,4,1,2,3,2.570491803
chr10:72340789-72341170,2,0,7,0,2,4,6,3,0,2,7,5,2,0,2,4,3,2,0,0,3,0,3,0,0,2,3,0,2,3,2.233333333,2,0,5,0,2,4,3,1,0,1,4,3,1,1,1,4,1,2,1,0,3,1,2,1,0,2,2,0,2,3,1.987431694
chr20:62139075-62140944,4,11,2,5,7,6,19,8,6,5,5,2,7,2,5,8,7,5,9,10,6,2,11,9,8,6,6,5,3,7,6.533333333,4,9,2,3,6,5,11,6,4,5,4,2,5,2,3,5,4,2,6,8,2,1,10,7,5,5,5,1,2,6,5.615300546
chr13:24477701-24478276,2,2,0,4,0,0,5,3,2,3,3,0,0,4,0,3,3,4,4,3,3,0,3,0,0,2,0,0,3,3,1.966666667,2,1,0,2,1,1,3,2,1,2,2,0,1,3,0,2,2,2,3,1,2,1,2,0,0,2,1,1,3,3,1.753551913
chr7:16216066-16278226,2,4,0,0,7,6,0,0,2,0,3,3,2,2,4,4,3,2,3,4,0,0,2,0,0,3,0,0,3,8,2.233333333,1,4,1,0,6,6,1,1,2,0,3,0,1,2,2,2,3,2,1,3,0,1,2,1,0,2,1,0,3,7,2.08579235
chr6:136694140-136698682,5,5,6,0,6,10,3,2,4,0,5,10,4,5,6,3,4,3,9,6,0,2,8,0,5,7,8,2,8,6,4.733333333,4,5,5,0,3,6,1,2,2,1,5,7,4,4,4,2,4,1,4,4,1,2,7,0,3,6,7,1,5,3,4.093989071
chr8:28155942-28162078,3,7,2,0,7,8,3,5,8,5,4,7,7,8,0,6,4,7,5,2,8,0,10,4,5,4,4,4,2,5,4.8,2,7,2,1,5,8,2,3,6,5,4,1,6,7,1,6,3,7,4,1,7,2,9,5,4,3,4,3,2,5,4.48852459
chr2:199348701-199433514,10,10,7,11,13,11,9,11,20,4,15,8,3,5,4,15,9,4,17,5,4,10,7,10,6,4,14,6,11,15,9.266666667,7,9,6,9,12,8,8,8,17,4,9,8,2,5,4,13,7,1,13,4,4,6,3,7,3,4,13,5,8,10,8.266666667
chr3:111112030-111126335,5,3,2,3,3,6,2,4,3,5,4,7,3,4,0,4,4,4,6,5,0,0,3,2,3,2,2,2,2,2,3.166666667,4,3,2,3,3,3,1,3,3,4,3,6,2,1,0,3,3,3,5,4,1,0,3,2,3,1,2,2,2,1,2.855191257
